Season,Season,Name,Level,Age,PA,BB%,K%,ISO,GB%,wRC+
97,2025,Justin Crawford,AAA,21,506,11.50%,18.00%,0.118,59.40%,135
98,2025,Darell Morel,DSL,17,202,18.30%,22.30%,0.127,60.80%,135
99,2025,Miguel Caraballo,DSL,16,169,16.60%,22.50%,0.178,39.10%,135
100,2025,Ryan Nicholson,A+,24,400,14.50%,23.50%,0.185,43.90%,134
101,2025,Juan Cabada,DSL,17,170,11.80%,18.20%,0.14,49.00%,134
102,2025,Jadyn Fielder,CPX,20,183,16.40%,22.40%,0.176,42.30%,134
103,2025,Seth Stephenson,A+,24,427,7.00%,14.50%,0.135,43.80%,134
104,2025,Yulian Barreto,DSL,17,227,15.90%,14.50%,0.072,49.30%,134
105,2025,Randy Martinez,DSL,18,177,26.00%,23.20%,0.094,40.70%,134
106,2025,Aidan Miller,AA,21,489,14.90%,23.70%,0.168,38.50%,134
107,2025,Moises Polanco,DSL,18,199,20.60%,15.60%,0.13,39.60%,133
108,2025,Iverson Allen,DSL,17,154,18.80%,23.40%,0.118,39.40%,133
109,2025,Santiago Almao,DSL,17,189,17.50%,14.30%,0.132,37.00%,133
110,2025,Dayber Cruceta,DSL,17,169,17.80%,18.90%,0.082,57.90%,133
111,2025,Greylin De La Paz,DSL,18,215,18.10%,16.70%,0.118,44.40%,133
112,2025,Angel Salio,DSL,17,169,11.20%,10.10%,0.176,55.00%,132
113,2025,Manolfi Jimenez,CPX,20,171,3.50%,15.20%,0.223,39.80%,132
114,2025,Corey Joyce,AA,26,389,14.40%,20.80%,0.074,44.50%,132
115,2025,Yovanny Duran,DSL,17,197,19.80%,15.20%,0.086,39.10%,132
116,2025,Yosneiker Rivas,DSL,19,172,11.00%,16.90%,0.147,48.20%,132
117,2025,Peyton Graham,A+,24,409,9.80%,20.80%,0.14,40.00%,132
118,2025,Alfredo Alcantara,CPX,19,189,17.50%,23.30%,0.128,46.60%,132
119,2025,Ryan Ward,AAA,27,652,12.70%,18.70%,0.267,38.20%,132
120,2025,Juan Espinal,DSL,18,190,20.50%,33.20%,0.204,45.90%,132
121,2025,Phillip Glasser,AA,25,490,10.60%,11.20%,0.098,46.60%,132
122,2025,Breyson Guedez,DSL,17,210,6.70%,9.50%,0.13,47.20%,132
123,2025,Zyhir Hope,A+,20,524,14.90%,26.50%,0.164,34.80%,132
124,2025,Kenly Hunter,DSL,17,173,13.90%,11.60%,0.086,49.50%,131
125,2025,Jonathon Long,AAA,23,607,13.00%,19.10%,0.173,45.90%,131
126,2025,Juan Rojas,DSL,17,199,22.10%,18.60%,0.088,42.70%,131
127,2025,Ricardo Romero,DSL,17,205,13.70%,10.20%,0.165,42.30%,131
128,2025,Noah Myers,A+,25,363,18.70%,26.70%,0.115,46.80%,131
129,2025,Justin Gonzales,A,18,357,9.80%,14.60%,0.125,55.80%,131
130,2025,Eriel Dihigo,DSL,18,226,19.00%,13.70%,0.14,33.10%,131
131,2025,Kevin Alvarez,DSL,17,192,12.00%,9.90%,0.154,38.50%,131
132,2025,Kala'i Rosario,AA,22,579,12.60%,27.50%,0.231,37.20%,131
133,2025,Braylen Wimmer,A+,24,386,8.00%,22.00%,0.201,43.90%,131
134,2025,Hayden Alvarez,CPX,18,221,14.00%,18.60%,0.093,52.50%,131
135,2025,Kendall George,A+,20,514,16.30%,15.20%,0.075,60.30%,131
136,2025,Juan Torres,DSL,17,170,3.50%,11.80%,0.157,46.50%,131
137,2025,Jose Ramos,DSL,18,176,13.60%,18.80%,0.138,48.60%,131
138,2025,Cody Freeman,AAA,24,426,7.50%,8.70%,0.214,46.30%,131
139,2025,Emil Morales,CPX,18,269,11.50%,28.30%,0.197,39.50%,130
140,2025,Luis Arana,DSL,17,227,13.20%,7.90%,0.178,46.70%,130
141,2025,Tyson Lewis,CPX,19,207,7.20%,24.60%,0.191,50.00%,130
142,2025,Steven Herrera,DSL,17,180,17.80%,30.00%,0.204,32.90%,130
143,2025,Raudi Rodriguez,A,21,560,11.30%,23.20%,0.189,40.90%,130
144,2025,Adrian Bello,DSL,19,178,20.20%,19.10%,0.167,43.40%,130
145,2025,Kemp Alderman,AA,22,454,7.50%,22.50%,0.165,54.20%,130
146,2025,Deinys Gonzalez,DSL,18,183,13.10%,15.80%,0.181,36.40%,130
147,2025,Miguel Welch,DSL,17,168,15.50%,11.90%,0.144,50.50%,130
148,2025,Victor Bericoto,AA,23,393,10.90%,23.40%,0.166,39.30%,130
149,2025,Christopher Alvarado,DSL,18,149,18.10%,16.80%,0.149,47.60%,130
150,2025,Jhon Gil,DSL,17,150,16.00%,13.30%,0.098,41.20%,129
151,2025,Anderson Areinamo,DSL,18,208,13.50%,16.30%,0.165,37.30%,129
152,2025,Jemone Nuel,DSL,18,235,21.70%,20.40%,0.136,33.60%,129
153,2025,Harold Castro,AAA,31,403,6.50%,19.40%,0.231,40.70%,129
154,2025,Leandro Romero,DSL,18,180,8.90%,19.40%,0.253,35.70%,129
155,2025,Jean Carlos Sió,A,21,385,11.90%,11.90%,0.111,46.30%,129
156,2025,Sammy Stafura,A,20,403,15.60%,24.10%,0.149,36.10%,129
157,2025,Josuar Gonzalez,DSL,17,228,16.20%,15.80%,0.168,50.30%,129
158,2025,Byron Castillo,DSL,19,161,8.10%,26.10%,0.184,32.00%,128
159,2025,Ramiro Dominguez,CPX,18,172,11.60%,10.50%,0.166,28.60%,128
160,2025,Tim Elko,AAA,26,414,8.20%,29.70%,0.26,49.00%,128
161,2025,Rafael Flores,DSL,18,175,14.30%,16.00%,0.101,39.10%,128
162,2025,Diwarys Encarnacion,DSL,19,216,12.50%,13.90%,0.192,46.60%,128
163,2025,Maxton Martin,A,20,458,9.80%,22.10%,0.182,42.00%,128
164,2025,Juan Alva,DSL,19,201,13.40%,14.90%,0.106,49.20%,128
165,2025,Justice Bigbie,AA,26,452,10.40%,15.30%,0.13,46.50%,127
166,2025,Anthony Millan,DSL,17,162,16.00%,18.50%,0.145,45.90%,127
167,2025,Colby Halter,AA,23,380,13.20%,26.80%,0.143,43.60%,127
168,2025,Julio Zayas,CPX,19,173,12.70%,13.90%,0.085,43.60%,127
169,2025,Jadher Areinamo,A+,21,415,8.20%,11.60%,0.166,39.30%,126
170,2025,Denzer Guzman,AA,21,386,10.60%,23.80%,0.173,33.10%,126
171,2025,Braedon Karpathios,A+,22,433,15.00%,27.30%,0.156,48.40%,126
172,2025,Jakob Marsee,AAA,24,429,15.90%,18.90%,0.191,38.90%,126
173,2025,Callan Moss,A+,21,393,13.50%,22.10%,0.148,41.10%,126
174,2025,Nathan Flewelling,A,18,439,20.30%,27.60%,0.107,41.60%,126
