Name,category,PA,BB%,K%,ISO,GB%,wRC+
Chris Parmelee,1,2646,0.1337482960515557,0.188139977357366,0.2044851850585598,0.3232990620257602,143.81704201974694
Chris Taylor,2,1526,0.1221495495736322,0.1797068529659037,0.1375699281641883,0.4791630794783942,132.79445684250248
Christian Arroyo,2,1945,0.0595376071541065,0.1556378926746316,0.1494945550433501,0.5079642945117092,110.97314911802025
Christian Vazquez,1,1895,0.0948352430326609,0.1671459677282118,0.115907182477104,0.4851772535860306,107.5054321297186
Christian Villanueva,2,2721,0.0693533286010642,0.1911880394285939,0.1731095295521082,0.3570605159292011,102.11734049348708
Christian Walker,2,1561,0.0863641923411003,0.2167954438817033,0.1802827849629689,0.3987934751573695,125.72745914102912
Christian Yelich,3,1190,0.0890671014693614,0.1677644097837707,0.1625333192747302,0.4164186377417051,121.30733661649164
Christin Stewart,1,1835,0.1216692260954473,0.2261240902052089,0.2315149041164863,0.3513157338344285,137.8389522092279
Clete Thomas,1,932,0.097895048269519,0.2095183512576544,0.137180191174632,0.3662802005307844,100.43858703673696
Cliff Pennington,1,1186,0.15603690749581,0.1275145850546096,0.0898251225287741,0.4005558747562365,103.3226990468107
Clint Robinson,2,1185,0.0511954989243319,0.1057665255268635,0.1347760001468354,0.2920992421203938,87.9855648369523
Cody Asche,1,1273,0.0755382495516449,0.1975551908947625,0.1757261583915567,0.392321755493607,127.74185606629456
Cody Bellinger,2,1416,0.09229796439432,0.1767991977472604,0.1784629605368149,0.2749963331515253,106.22025925521828
Colby Rasmus,2,943,0.1178684768041061,0.1771428983300777,0.1910144532924475,0.2942379309498754,108.58546512127936
Colin Moran,1,1956,0.0907763511114754,0.1936908982149117,0.147566058733011,0.4468024711245767,114.3376463084151
Conor Gillaspie,1,2038,0.0979753912811497,0.1324608104498225,0.143048098765176,0.3623421240320693,105.37768283665328
Corey Dickerson,2,1649,0.0764110511619941,0.1651239802279457,0.2644222560609003,0.3495933848954067,155.2105707272423
Corey Seager,3,1618,0.075797863616379,0.1780044389545297,0.1940374716630504,0.4164214545170869,125.6958787908326
Cory Spangenberg,1,1631,0.0544006069864343,0.1524552429425077,0.0864704709165428,0.471820678351731,90.81937548226328
D.J. Stewart,1,891,0.0501309387018331,0.1473999250587355,0.0904427017403666,0.2849582968993641,62.8190055100305
DJ LeMahieu,1,1655,0.0624723470482503,0.1090719072261083,0.0980493463507165,0.5621632086468317,110.3164899851402
Daniel Descalso,1,1766,0.0892065569467085,0.1096674304825852,0.1395116094893103,0.4716717661042627,107.57217872971653
Daniel Murphy,2,966,0.0702252694689002,0.0892053990518086,0.1370003530540422,0.341833422194319,97.83224300333534
